pr,skip,identifiers,comment,vin
,,,2023 Ford F-150 XLT,1FTFW1E85PKF54629
,,,2023 Ford Mustang Mach-E Premium,3FMTK3SU3PMA12641
,,,2023 Ford F-150 XLT,1FTFW1E80PFC83505
,,,2023 Ford F-150 Tremor,1FTEW1E80PFB04181
,,,2023 Ford F-150 Lightning Lariat,1FTVW1EV3PWG28138
,,,2023 Ford F-150 Lightning Lariat,1FTVW1EV1PWG61316
,,,2019 Ford EcoSport Titanium,MAJ3S2KE8KC274954
,,,2019 Ford Fusion Hybrid SE,3FA6P0LU8KR241754
,,,2021 Ford EcoSport SE,MAJ3S2GE0MC446356
,,,2020 Ford EcoSport Titanium,MAJ6S3KL3LC353189
,,,2020 Ford Fusion SE,3FA6P0HD4LR264457
,,,2020 Ford Edge SEL,2FMPK4J95LBB29105
,,,2021 Ford Explorer Limited,1FMSK8FH2MGA85284
,,,2021 Ford Explorer Limited,1FMSK8FH9MGB51992
,,,2021 Ford Explorer Limited,1FMSK8FH0MGA85767
,,,2020 Ford Explorer XLT,1FMSK8DH3LGC88556
,,,2022 Ford Explorer XLT,1FMSK8DH0NGA59240
,,,2021 Ford Explorer Limited,1FMSK7FH7MGB83916
,,,2022 Ford Explorer XLT,1FMSK8DH9NGA52707
,,,2022 Ford Explorer XLT,1FMSK8DH6NGA39736
,,,2021 Ford Explorer XLT,1FMSK8DH2MGA20826
,,,2021 Ford Ranger XLT,1FTER4FH3MLD96509
,,,2021 Ford F-150 XLT,1FTEW1EP0MKD31896
,,,2020 Ford Escape SE,1FMCU0G6XLUA70318
,,,2023 Ford Maverick XLT,3FTTW8F94PRA94264
,,,2023 Ford Maverick,3FTTW8F92PRA08417
,,,2022 Ford Maverick XLT,3FTTW8E33NRB01151
,,,2022 Ford Maverick XL,3FTTW8E95NRA41751
,,,2022 Ford Maverick Lariat,3FTTW8E3XNRA20244
,,,2022 Ford Maverick XL,3FTTW8F92NRA94227
,,,2022 Ford Maverick Lariat,3FTTW8E37NRA91806
,,,2022 Ford Maverick XLT,3FTTW8F90NRA00197
,,,2023 Ford Maverick XLT,3FTTW8F98PRA55709
,,,2023 Ford Maverick XL,3FTTW8F98PRA81176
,,,2022 Ford Maverick Lariat,3FTTW8F97NRA00360
,,,2023 Ford Maverick XLT,3FTTW8F94PRA82812
,,,2022 Ford Maverick,3FTTW8E36NRA65794
,,,2023 Ford Maverick Lariat,3FTTW8F97PRA65714
,,,2023 Ford Maverick XLT,3FTTW8E31PRA38232
,,,2022 Ford Maverick XLT,3FTTW8F90NRA00121
,,,2022 Ford Maverick XLT,3FTTW8E31NRA42133
,,,2023 Ford Maverick XLT,3FTTW8F97PRA09272
,,,2023 Ford Maverick XLT,3FTTW8E38PRA45436
,,,2022 Ford Maverick Lariat,3FTTW8E97NRB04719
,,,2022 Ford Maverick Lariat,3FTTW8E39NRA45300
,,,2023 Ford Maverick Lariat,3FTTW8F98PRA63972
,,,2022 Ford Maverick Lariat,3FTTW8E31NRA95110
,,,2022 Ford Maverick XLT,3FTTW8F93NRA02543
,,,2022 Ford Maverick Lariat,3FTTW8E94NRA97695
,,,2022 Ford Maverick XLT,3FTTW8E91NRA78182
,,,2022 Ford Maverick XLT,3FTTW8E32NRA84844
,,,2022 Ford Maverick XLT,3FTTW8E9XNRA52812
,,,2023 Ford Maverick Lariat,3FTTW8F99PRA43570
,,,2023 Ford Maverick Lariat,3FTTW8F93PRA27235
,,,2022 Ford Maverick XLT,3FTTW8F92NRB05162
,,,2023 Ford Maverick XL,3FTTW8F95PRA38382
,,,2022 Ford Maverick Lariat,3FTTW8F94NRA24325
,,,2022 Ford Escape SEL,1FMCU9H67NUB79650
,,,2022 Ford F-350 Super Duty XL,1FT8W3DN7NED08169
,,,2021 Ford F-150 Lariat,1FTEW1EP1MKE35667
,,,2021 Ford EcoSport SES,MAJ6S3JLXMC441854
,,,2022 Ford EcoSport SE,MAJ6S3GL4NC458027
,,,2021 Ford Bronco Big Bend,1FMDE5BH9MLA74827
,,,2020 Ford EcoSport SE,MAJ6S3GL0LC331448
,,,2020 Ford Escape SEL,1FMCU0H63LUC53588
,,,2022 Ford E-Transit Cargo Van 350,1FTBW9CK3NKA12972
,,,2021 Ford EcoSport Titanium,MAJ6S3KL4MC400540
,,,2020 Ford F-150 XLT,1FTEW1EP2LKD89457
,,,2021 Ford Mustang GT Premium,1FATP8FF5M5135749
,,,2020 Ford Ranger XLT,1FTER4FH8LLA17941
,,,2020 Ford Escape SEL,1FMCU0H68LUA25750
,,,2020 Ford F-150 XLT,1FTFW1E89MKD06315
,,,2022 Ford F-150 XLT,1FTFW1E86NFA63301
,,,2021 Ford F-150 Lariat,1FTEW1EP9MFC86935
,,,2022 Ford F-150 XLT,1FTEW1EP1NFA25123
,,,2021 Ford F-150 XL,1FTEX1CP4MKE83034
,,,2022 Ford Bronco Outer Banks,1FMDE5BH4NLB89630
,,,2021 Ford Mustang GT Premium,1FA6P8CF2M5150131
,country-uk,,2019 Ford Focus,WF0PXXGCHPKY65983
,,,2018 Ford Focus,1FADP3F24JL324114
,,,2023 Ford Explorer Platinum,1FM5K8HC5PGB71921
,"country-uk,no-asbuilt",,2019 Ford Focus,WF0KXXGCBKBC56448
,country-uk,,2019 Ford Focus,WF0NXXGCHNKD75963
,country-uk,,2019 Ford Focus,WF0PXXGCHPKJ33593
